time,q1,qd1,th1,thd1,tau1,q2,qd2,th2,thd2,tau2,dq,dqd,dth,dthd,dtau
0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,-0.1,0.05,1.3249158569484494,-0.2,-0.1,0.2,-0.05,-1.3249158569484494
0.10000000000000007,0.005169563607726907,0.0855039238908892,0.028644243082585032,-1.0261982459638985,0.23956289991231444,0.19267486866395694,-0.182805643165339,0.16905220478058733,4.010913193735939,1.5092515881855955,-0.18750530505623003,0.2683095670562282,-0.1404079616980023,-5.037111439699837,-1.269688688273281
0.20000000000000015,0.01287383880840652,0.053918241213534814,-0.03235891423697498,-0.0046433696851355625,0.4750295803090887,0.17934729731124885,-0.022738104109856397,0.44638591894864993,0.8026472744403902,1.675326366986365,-0.16647345850284234,0.07665634532339122,-0.4787448331856249,-0.8072906441255258,-1.2002967866772762
0.3000000000000002,0.015718565633721062,0.013917126441295736,0.01912258233247427,0.8186743478849742,0.702434420211524,0.19113623850856704,0.2300444675828645,0.34332265897247005,-2.1652490345701807,1.8200241788006029,-0.17541767287484597,-0.21612734114156879,-0.3242000766399958,2.983923382455155,-1.1175897585890788
0.4000000000000003,0.01867019815409781,0.05801286556894853,0.08493970639450316,0.34523641048485937,0.9180669681236656,0.21609295837492037,0.22673723805606388,0.17494389901353205,-0.6280003026501216,1.9406868532641657,-0.19742276022082256,-0.16872437248711536,-0.0900041926190289,0.9732367131349811,-1.0226198851405002
0.5000000000000003,0.028321298836901463,0.13190124010524,0.08598876966200171,-0.21446025158365112,1.1185847667539979,0.23308570510702195,0.12364755571180186,0.23643256700887122,1.5196573930054826,2.035204477360633,-0.2047644062701205,0.008253684393438127,-0.15044379734686952,-1.7341176445891338,-0.9166197106066352
0.6000000000000004,0.04360658209859067,0.16634850376519858,0.07080485858876104,0.025092351731741715,1.3011093146052344,0.24595943538064566,0.16146363036981962,0.3813848153442371,0.9644029503763019,2.102084103482887,-0.202352853282055,0.004884873395378964,-0.3105799567554761,-0.9393105986445601,-0.8009747888776528
0.7000000000000005,0.060899463700413554,0.18083349438487395,0.09736010954678258,0.4574895120042018,1.4633009104991261,0.2682173727014403,0.2808865989736835,0.40108423286094413,-0.4308760502226565,2.1404935575310002,-0.20731790900102676,-0.10005310458880956,-0.30372412331416154,0.8883655622268583,-0.6771926470318741
0.8000000000000006,0.08063981728038665,0.21903670284689836,0.1455436274978737,0.4269931616770741,1.6034092061257246,0.2991968632225078,0.3197388506814279,0.3509060045020256,-0.29213876367063163,2.1502783877189495,-0.21855704594212116,-0.10070214783452952,-0.20536237700415189,0.7191319253477058,-0.546869181593225
0.9000000000000007,0.1052794589980865,0.2735519339874012,0.17596723364218259,0.198074285355959,1.7202975302798063,0.3296108996500596,0.2854775966729103,0.3693386881939371,0.6197378258903016,2.1319513300146715,-0.22433144065197308,-0.011925662685509097,-0.19337145455175453,-0.4216635405343426,-0.41165379973486527
1.0000000000000007,0.13481949393082132,0.3134239738078666,0.1943565474758281,0.22118144134832335,1.8134403817467195,0.3573409789185293,0.27853378335414364,0.44436350394706575,0.6975005113360333,2.0866550315748715,-0.22252148498770796,0.034890190453722936,-0.25000695647123766,-0.47631906998770995,-0.273214649828152
1.1009999999999895,0.16768881556560056,0.3359174913947272,0.22623200016589484,0.40708743668153513,1.8834713408138013,0.38699816339001175,0.3101247908518525,0.48686798553592814,0.13781404766276825,2.015274062552272,-0.2193093478244112,0.02579270054287469,-0.2606359853700333,0.26927338901876685,-0.13180272173847074
1.2009999999999785,0.20231465633792498,0.3574043589980396,0.2709405519363493,0.4534466387458825,1.9295980658723464,0.4187768599158138,0.31761504986733863,0.487718583654209,-0.009995186106639152,1.921437552515837,-0.21646220357788884,0.039789309130700945,-0.2167780317178597,0.4634418248525216,0.008160513356509469
1.3009999999999675,0.23925447801678304,0.38086879227697057,0.3123721324100974,0.3700447731109335,1.9536796758524093,0.4490883334741,0.2842505700849356,0.5005432798529903,0.2863512099028458,1.8071443894467754,-0.20983385545731695,0.09661822219203497,-0.18817114744289287,0.08369356320808768,0.14653528640563396
