time,x,v,u
0.0,0.0,0.0,0.0
0.05,0.00011099104175673056,0.006590075239819547,0.2748854309887308
0.1,0.0008598523972823903,0.025235700783867495,0.5490837915575548
0.15000000000000002,0.0028079086992612804,0.054287733026340323,0.8219097286047958
0.2,0.006435462660506231,0.09215607478917387,1.0926813193728366
0.25,0.01214497810305687,0.13731862014266832,1.3607217758998762
0.3,0.020264668686480455,0.18832855742672067,1.6253611366373675
0.35,0.031052413244436625,0.243820150665203,1.8859379410049824
0.39999999999999997,0.04469992467094667,0.3025131202510007,2.1418008826975776
0.44999999999999996,0.06133710533201693,0.3632157431939151,2.392310437611766
0.49999999999999994,0.08103652795470773,0.4248267915235655,2.636840462323116
0.5499999999999999,0.10381798681241246,0.48633642477282846,2.874779759118625
0.6,0.12965306973723356,0.5468261489745693,3.1055336036726944
0.65,0.1584697070099374,0.6054679504174401,3.3285252315482174
0.7000000000000001,0.1901566584734494,0.6615227076486532,3.543197279807301
0.7500000000000001,0.22456790526156756,0.7143379799973351,3.749013180128338
0.8000000000000002,0.261526917310379,0.7633452653268012,3.945458499947376
0.8500000000000002,0.3008307723106641,0.8080568139044164,4.132042228271611
0.9000000000000002,0.3422541059548719,0.8480620792912871,4.308298002951159
0.9500000000000003,0.38555287722572706,0.8830238810799054,4.473785276341557
1.0000000000000002,0.4304679360625884,0.9126743482165874,4.628090416443431
1.0500000000000003,0.47672838402706974,0.9368107055995695,4.770827740767094
1.1000000000000003,0.5240547215748066,0.9552909606975689,4.901640480337895
1.1500000000000004,0.5721617782318206,0.9680295411347004,5.020201671432867
1.2000000000000004,0.6207614243800871,0.9749929285760439,5.126214972819746
1.2500000000000004,0.6695650654878779,0.9761953288574963,5.219415406455725
1.3000000000000005,0.7182859214879952,0.9716944131612509,5.299570019794562
1.3500000000000005,0.7666410956241136,0.9615871601660964,5.366478468046625
1.4000000000000006,0.8143534384660495,0.9460058245162153,5.419973514936531
1.4500000000000006,0.8611532139535207,0.9251140526650219,5.459921450706737
1.5000000000000007,0.9067795752799738,0.8991031631691767,5.4862224263223
1.5500000000000007,0.9509818591887111,0.868188604835733,5.498810703041464
1.6000000000000008,0.9935207078383503,0.8326066027623943,5.497654816728278
1.6500000000000008,1.0341690278189528,0.7926109992540037,5.4827576564965534
1.7000000000000008,1.072712796179173,0.7484702938418947,5.454156457488576
1.7500000000000009,1.1089517234733046,0.7004648841685178,5.411922707806652
1.800000000000001,1.1426997838695243,0.6488845073178011,5.356161969830072
1.850000000000001,1.1737856222907628,0.5940258792603301,5.287013616364148
1.900000000000001,1.2020528484007102,0.5361905284286669,5.204650482280778
1.950000000000001,1.2273602270119812,0.4756828180279362,5.109278432521279
2.000000000000001,1.249581774193266,0.4128081505053932,5.0011358475412475
2.0500000000000007,1.268606767998429,0.34787134663469366,4.880493027483563
2.1000000000000005,1.2843396823432471,0.28117519090035825,4.747651516568804
2.1500000000000004,1.2967000521243288,0.21301913427963953,4.602943349391737
2.2,1.3056222772183996,0.1436981450969046,4.446730221007746
2.25,1.3110553725265153,0.07350169835416383,4.2794025828835665
